

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 05survey.b   15 II 00
/datum  57000.00
/
/time nT sq 
020242.0  32610.10 99 
020252.0  32610.14 99 
020302.0  32610.22 99 
020312.0  32610.27 99 
020322.0  32610.24 99 
020332.0  32610.26 99 
020342.0  32610.20 99 
020352.0  32610.17 99 
020402.0  32610.25 99 
020412.0  32610.25 99 
020422.0  32610.24 99 
020432.0  32610.31 99 
020442.0  32610.25 99 
020452.0  32610.25 99 
020502.0  32610.26 99 
020512.0  32610.25 99 
020522.0  32610.14 99 
020532.0  32610.35 99 
020542.0  32610.43 99 
020552.0  32610.34 99 
020602.0  32610.41 99 
020612.0  32610.39 99 
020622.0  32610.38 99 
020632.0  32610.45 99 
020642.0  32610.46 99 
020652.0  32610.51 99 
020702.0  32610.51 99 
020712.0  32610.54 99 
020722.0  32610.54 99 
020732.0  32610.49 99 
020742.0  32610.62 99 
020752.0  32610.54 99 
020802.0  32610.63 99 
020812.0  32610.59 99 
020822.0  32610.57 99 
020832.0  32610.50 99 
020842.0  32610.75 99 
020852.0  32610.73 99 
020902.0  32610.71 99 
020912.0  32610.66 99 
020922.0  32610.72 99 
020932.0  32610.70 99 
020942.0  32610.76 99 
020952.0  32610.74 99 
021002.0  32610.77 99 
021012.0  32610.71 99 
021022.0  32610.77 99 
021032.0  32610.64 99 
021042.0  32610.66 99 
021052.0  32610.71 99 
021102.0  32610.71 99 
021112.0  32610.68 99 
021122.0  32610.73 99 
021132.0  32610.74 99 
021142.0  32610.73 99 
021152.0  32610.68 99 
021202.0  32610.69 99 
021212.0  32610.75 99 
021222.0  32610.77 99 
021232.0  32610.75 99 
021242.0  32610.75 99 
021252.0  32610.77 99 
021302.0  32610.75 99 
021312.0  32610.74 99 
021322.0  32610.83 99 
021332.0  32610.79 99 
021342.0  32610.77 99 
021352.0  32610.78 99 
021402.0  32610.92 99 
021412.0  32610.89 99 
021422.0  32610.93 99 
021432.0  32610.99 99 
021442.0  32610.96 99 
021452.0  32610.94 99 
021502.0  32610.92 99 
021512.0  32610.99 99 
021522.0  32611.06 99 
021532.0  32611.11 99 
021542.0  32611.06 99 
021552.0  32611.08 99 
021602.0  32611.07 99 
021612.0  32611.07 99 
021622.0  32611.13 99 
021632.0  32611.12 99 
021642.0  32611.12 99 
021652.0  32611.13 99 
021702.0  32611.11 99 
021712.0  32611.14 99 
021722.0  32611.11 99 
021732.0  32611.20 99 
021742.0  32611.14 99 
021752.0  32611.17 99 
021802.0  32611.16 99 
021812.0  32611.17 99 
021822.0  32611.19 99 
021832.0  32611.27 99 
021842.0  32611.12 99 
021852.0  32611.15 99 
021902.0  32611.15 99 
021912.0  32611.11 99 
021922.0  32611.04 99 
021932.0  32611.20 99 
021942.0  32611.14 99 
021952.0  32611.10 99 
022002.0  32611.17 99 
022012.0  32611.14 99 
022022.0  32611.08 99 
022032.0  32611.09 99 
022042.0  32611.08 99 
022052.0  32611.03 99 
022102.0  32611.17 99 
022112.0  32611.12 99 
022122.0  32611.10 99 
022132.0  32611.14 99 
022142.0  32611.20 99 
022152.0  32611.22 99 
022202.0  32611.15 99 
022212.0  32611.14 99 
022222.0  32611.22 99 
022232.0  32611.25 99 
022242.0  32611.17 99 
022252.0  32611.27 99 
022302.0  32611.26 99 
022312.0  32611.26 99 
022322.0  32611.30 99 
022332.0  32611.31 99 
022342.0  32611.29 99 
022352.0  32611.34 99 
022402.0  32611.38 99 
022412.0  32611.40 99 
022422.0  32611.41 99 
022432.0  32611.41 99 
022442.0  32611.39 99 
022452.0  32611.40 99 
022502.0  32611.42 99 
022512.0  32611.40 99 
022522.0  32611.38 99 
022532.0  32611.41 99 
022542.0  32611.40 99 
022552.0  32611.61 99 
022602.0  32611.57 99 
022612.0  32611.43 99 
022622.0  32611.41 99 
