

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 01survey.wg  15 II 00
/00112 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 0  0  32494.01 -0145.39 89 * 001730.0 * * 
 0  0  32480.30 -0157.89 79 * 001732.0 * * 
 0  0  32476.40 -0160.66 69 * 001734.0 * * 
 0  0  32475.34 -0161.66 69 * 001736.0 * * 
 0  0  32475.47 -0161.50 69 * 001738.0 * * 
 0  0  32475.90 -0161.34 69 * 001740.0 * * 
 0  0  32475.70 -0161.33 69 * 001742.0 * * 
 0  0  32475.62 -0161.54 69 * 001744.0 * * 
/ 001759.0 e1
 0  0  32475.37 -0161.75 69 * 001810.0 * * 
 0  0  32476.41 -0161.09 69 * 001812.0 * * 
 0  0  32474.63 -0192.03 79 * 001814.0 * * 
 0  0  32559.22 -0163.25 99 * 001816.0 * * 
 0  0  32580.46 -0190.55 69 * 001818.0 * * 
 0  0  32977.18 -0023.32 49 * 001820.0 * * 
 0  0  33133.64 -0069.62 49 * 001822.0 * * 
 0  0  33137.89 -0059.85 49 * 001824.0 * * 
 0  0  33113.31 -0104.06 59 * 001826.0 * * 
 0  0  33110.97 -0105.71 59 * 001828.0 * * 
 0  0  33110.96 -0104.55 59 * 001830.0 * * 
 0  0  33111.22 -0104.72 59 * 001832.0 * * 
 0  0  33111.02 -0105.23 59 * 001834.0 * * 
 0  0  33111.07 -0105.11 59 * 001836.0 * * 
 0  0  33111.13 -0105.42 49 * 001838.0 * * 
 0  0  33110.77 -0105.27 59 * 001840.0 * * 
 0  0  33110.78 -0105.05 59 * 001842.0 * * 
 0  0  33110.67 -0105.18 49 * 001844.0 * * 
 0  0  33110.71 -0105.22 49 * 001846.0 * * 
 0  0  33110.98 -0105.18 59 * 001848.0 * * 
 0  0  33110.63 -0104.87 59 * 001850.0 * * 
 0  0  33110.73 -0105.24 59 * 001852.0 * * 
/ 001916.0 f1
 0  0  33110.10 -0106.00 59 * 001932.0 * * 
 0  0  33110.64 -0106.88 49 * 001934.0 * * 
 0  0  33103.89 -0097.93 59 * 001936.0 * * 
